msisdn;churn_postpaid_propensity_score;target;delivery_date
6094;0.529427021681663;tg;2013-05-23
4054;0.520624003616298;tg;2013-05-23
9842;0.509082265719842;cg;2013-05-23
9754;0.505958578564998;tg;2013-05-23
4674;0.503551757931417;tg;2013-05-23
9410;0.499267373209523;tg;2013-05-23
11038;0.499111854989428;tg;2013-05-23
11609;0.497277965737879;tg;2013-05-23
11830;0.490269088084675;tg;2013-05-23
12926;0.48933509292626;tg;2013-05-23
13539;0.483437263202681;tg;2013-05-23
208;0.481599177262887;tg;2013-05-23
6655;0.480831315499934;tg;2013-05-23
4692;0.477529820526789;cg;2013-05-23
13426;0.472955175563627;tg;2013-05-23
10590;0.472678450748571;tg;2013-05-23
13501;0.454922747556947;cg;2013-05-23
10352;0.451902917080307;tg;2013-05-23
7229;0.436737623240992;tg;2013-05-23
894;0.433593961350532;tg;2013-05-23
13369;0.433578899577315;tg;2013-05-23
3495;0.426400197823758;tg;2013-05-23
1026;0.401587023903981;tg;2013-05-23
10702;0.400669466745897;tg;2013-05-23
864;0.39505920053963;tg;2013-05-23
693;0.384019882254552;tg;2013-05-23
14123;0.363528158776618;cg;2013-05-23
11023;0.357895114320135;tg;2013-05-23
12454;0.355342521232681;tg;2013-05-23
10757;0.35023758872313;cg;2013-05-23
13311;0.335341540083777;tg;2013-05-23
9193;0.323210310971817;tg;2013-05-23
13892;0.29413677553429;tg;2013-05-23
628;0.291214948985966;cg;2013-05-23
4585;0.287127218681504;tg;2013-05-23
3623;0.28420106573512;tg;2013-05-23
9972;0.276343309060886;tg;2013-05-23
906;0.272692440186399;tg;2013-05-23
6174;0.270143969023831;tg;2013-05-23
12316;0.26993212747137;tg;2013-05-23
11227;0.265211316972442;tg;2013-05-23
12782;0.261159842089201;tg;2013-05-23
269;0.259626628478374;tg;2013-05-23
8011;0.252681984666598;tg;2013-05-23
14015;0.250909218338591;tg;2013-05-23
119;0.247154685244572;tg;2013-05-23
6538;0.239356191023227;tg;2013-05-23
5893;0.231741004151098;tg;2013-05-23
12248;0.229411630499789;tg;2013-05-23
1168;0.22767869609429;cg;2013-05-23
10424;0.225574140657981;cg;2013-05-23
11531;0.217359764987676;cg;2013-05-23
6372;0.216002337152891;tg;2013-05-23
14608;0.215364899105966;tg;2013-05-23
